round_id,tournament_name,round_name,aff_doc,neg_doc,yt_link
68,NDT,8,ndtceda23/Wyoming/LaPo/Wyoming-LaPo-Aff-NDT-Round-8.docx,ndtceda23/Harvard/ClCh/Harvard-ClCh-Neg-05---NDT-Round-8.docx,https://www.youtube.com/watch?v=RO1EO62CvXQ
378,Dartmouth RR,2,ndtceda23/Dartmouth/BaCa/Dartmouth-BaCa-Aff-7---Dartmouth-Round-2.docx,ndtceda23/Harvard/ClCh/Harvard-ClCh-Neg-04---Dartmouth-RR-Round-2.docx,https://www.youtube.com/watch?v=23eTgUI5N3Q
380,Dartmouth RR,4,ndtceda23/Michigan/DoPh/Michigan-DoPh-Aff-Dartmouth-RR-Round-4.docx,ndtceda23/Dartmouth/BaCa/Dartmouth-BaCa-Neg-7---Dartmouth-Round-4.docx,https://www.youtube.com/watch?v=UniwtFXoPt4
381,Dartmouth RR,5,ndtceda23/Dartmouth/BaCa/Dartmouth-BaCa-Aff-7---Dartmouth-Round-5.docx,ndtceda23/Emory/KeRa/Emory-KeRa-Neg-Dartmouth-RR-Round-5.docx,https://www.youtube.com/watch?v=8dCke6hZSwI
593,NDT,7,ndtceda23/Minnesota/DaPa/Minnesota-DaPa-Aff-10--NDT-Round-7.docx,ndtceda23/Wayne/McRe/Wayne-McRe-Neg-0---NDT-Round-7.docx,https://www.youtube.com/watch?v=RlRJNArnDXA
769,NDT,1,ndtceda23/Kentucky/DiGr/Kentucky-DiGr-Aff-NDT-Round-1.docx,ndtceda23/Dartmouth/VaWa/Dartmouth-VaWa-Neg-NDT-Round-1.docx,https://www.youtube.com/watch?v=rPWyYEEtP34
886,ADA,Quarters,ndtceda23/Kansas/ReSo/Kansas-ReSo-Aff-ADA-Quarters.docx,ndtceda23/Kentucky/DiGr/Kentucky-DiGr-Neg-ADA-Quarters.docx,https://www.youtube.com/watch?v=js1G3lYgMaQ
910,NDT,Octas,ndtceda23/Kansas/MaPa/Kansas-MaPa-Aff-9---NDT-Octas.docx,ndtceda23/Kentucky/DiGr/Kentucky-DiGr-Neg-NDT-Octas.docx,https://www.youtube.com/watch?v=qBF4AIgTbAs
1120,NDT,4,ndtceda23/UPenn/ElYa/UPenn-ElYa-Aff-NDT-Round-4.docx,ndtceda23/Emory/GaHe/Emory-GaHe-Neg-NDT-Round-4.docx,https://www.youtube.com/watch?v=XaG9PjmW3TY
1307,Dartmouth RR,1,ndtceda23/Harvard/ClCh/Harvard-ClCh-Aff-04---Dartmouth-RR-Round-1.docx,ndtceda23/Emory/KeRa/Emory-KeRa-Neg-Dartmouth-RR-Round-1.docx,https://www.youtube.com/watch?v=8SUTs_Zv6iM
1310,Dartmouth RR,7,ndtceda23/Emory/KeRa/Emory-KeRa-Aff-Dartmouth-RR-Round-7.docx,ndtceda23/Michigan/DoPh/Michigan-DoPh-Neg-Dartmouth-RR-Round-7.docx,https://www.youtube.com/watch?v=0gcA7kf8kHI
1342,NDT,2,ndtceda23/Emory/KeRa/Emory-KeRa-Aff-NDT-Round-2.docx,ndtceda23/Northwestern/AgRu/Northwestern-AgRu-Neg-NDT-Round-2.docx,https://www.youtube.com/watch?v=dpGXCqVlbcQ
1755,NDT,5,ndtceda23/Iowa/CaAn/Iowa-CaAn-Aff-NDT-Round-5.docx,ndtceda23/UTD/KaSe/UTD-KaSe-Neg-08---NDT-Round-5.docx,https://www.youtube.com/watch?v=SzfnKl7C7Mg
16060,Texas Open,Triples,ndtceda23/Wyoming/LaPo/Wyoming-LaPo-Aff-Texas-Triples.docx,ndtceda23/Dartmouth/VaWa/Dartmouth-VaWa-Neg-Texas-Triples.docx,https://www.youtube.com/watch?v=9Pu7mdvBAws
16126,Texas Open,1,ndtceda23/Georgetown/LaWa/Georgetown-LaWa-Aff-Texas-Round-1.docx,ndtceda23/Trinity/KiMo/Trinity-KiMo-Neg-Texas-Round-1.docx,https://www.youtube.com/watch?v=aWOYyYDMKoY
16732,Texas Open,2,ndtceda23/Emory/RuSh/Emory-RuSh-Aff-4---Texas-Round-2.docx,ndtceda23/Northwestern/ChDe/Northwestern-ChDe-Neg-Texas-Open-Round-2.docx,https://www.youtube.com/watch?v=oo-mABwinrM
16897,Texas Open,Quarters,ndtceda23/Kentucky/DiGr/Kentucky-DiGr-Aff-Texas-Quarters.docx,ndtceda23/Texas/DeKa/Texas-DeKa-Neg-Texas-Quarters.docx,https://www.youtube.com/watch?v=7mjzhMfteEE
17207,Texas Open,5,ndtceda23/Emory/KeRa/Emory-KeRa-Aff-Texas-Round-5.docx,ndtceda23/Kansas/ReSo/Kansas-ReSo-Neg-Texas-Round-5.docx,https://www.youtube.com/watch?v=EvXEfB5U4LM
17212,Texas Open,Semis,ndtceda23/Emory/KeRa/Emory-KeRa-Aff-Texas-Semis.docx,ndtceda23/Michigan/DoPh/Michigan-DoPh-Neg-Texas-Semis.docx,https://www.youtube.com/watch?v=hCWYj6aLSj0
