tournament_name,round_name,aff_school,aff_code,neg_school,neg_code,yt_link
CEDA,6,Massachusetts,CM,Iowa,AC,https://www.youtube.com/watch?v=bAbI3vogaYE
CEDA,Quarters,Iowa,AC,CSULB,OF,https://www.youtube.com/watch?v=32BN-7lZGJ4
CEDA,Quarters,Iowa,AC,CSULB,OF,https://www.youtube.com/watch?v=Fy_QNapo5Ew
Long Beach,5,Iowa,AC,Dartmouth,VW,https://www.youtube.com/watch?v=0pWgCT5KBDo
NDT,8,Berkeley,RM,Iowa,AC,https://www.youtube.com/watch?v=I3VnPn8K-hQ
NDT,5,Iowa,AC,UTD,KS,https://www.youtube.com/watch?v=SzfnKl7C7Mg
NDT,1,Iowa,AC,Harvard,CC,https://www.youtube.com/watch?v=rkyqmv78xAk
NDT,4,MSU,KL,Iowa,AC,https://www.youtube.com/watch?v=8q4kIIOmef0
NDT,6,James Madison,BR,Iowa,AC,https://www.youtube.com/watch?v=w_PQeTND8qc
NDT,3,Iowa,AC,Kansas,RS,https://www.youtube.com/watch?v=Pxqx6Eo_asg
Texas Open,Doubles,Emory,MP,CSU Long Beach,OF,https://www.youtube.com/watch?v=n8UbH3aOc08
Texas Open,Finals,Emory,KR,CSU Long Beach,OF,https://www.youtube.com/watch?v=J2o94bF6O-U
Texas Open,Finals,Emory,KR,CSU Long Beach,OF,https://www.youtube.com/watch?v=o1DPwiSrtX8
Texas Open,Octos,CSU Long Beach,OF,Kansas,MP,https://www.youtube.com/watch?v=KyYUgTVP2KM
Texas Open,Octos,Texas,DK,Kansas,RS,https://www.youtube.com/watch?v=L4zeQ_xeFgU
Texas Open,Quarters,Georgetown,LW,CSU Long Beach,OF,https://www.youtube.com/watch?v=A7GpP-jNnhI
Texas Open,Quarters,Kentucky,DG,Texas,DK,https://www.youtube.com/watch?v=7mjzhMfteEE
Texas Open,1,Georgetown,LW,Trinity,MK,https://www.youtube.com/watch?v=aWOYyYDMKoY
Texas Open,2,Emory,RS,Northwestern,DC,https://www.youtube.com/watch?v=oo-mABwinrM
Texas Open,3,Michigan State,MG,Georgetown,LW,https://www.youtube.com/watch?v=nvULMGMFdeM
Texas Open,4,CSU Long Beach,OF,Emory,KR,https://www.youtube.com/watch?v=MHEsHK9Z0WI
Texas Open,4,Michigan,SG,Wichita State,BB,https://www.youtube.com/watch?v=9f8ylB5hIW4
Texas Open,5,Emory,KR,Kansas,RS,https://www.youtube.com/watch?v=EvXEfB5U4LM
Texas Open,5,Kentucky,DG,Michigan State,KL,https://www.youtube.com/watch?v=xcZY2BWaoo0
Texas Open,5,Wake Forest,BM,Texas,DK,https://www.youtube.com/watch?v=dFcCd5aMqbo
Texas Open,6,CSU Long Beach,OF,Michigan,PD,https://www.youtube.com/watch?v=dXmrgamn9Xs
Texas Open,6,Kansas,MP,Michigan State,MG,https://www.youtube.com/watch?v=4AbeyJzOiuY
Texas Open,Semis,Emory,KR,Michigan,PD,https://www.youtube.com/watch?v=hCWYj6aLSj0
Texas Open,Triples,Kansas,WW,Dartmouth,BC,https://www.youtube.com/watch?v=fOa_QUHuNIA
Texas Open,Triples,Wyoming,PL,Dartmouth,VW,https://www.youtube.com/watch?v=9Pu7mdvBAws
ADA,Octas,Kansas,RS,Michigan State,KL,https://www.youtube.com/watch?v=hbe1h-9Xxn0
ADA,Quarters,Kansas,RS,Kentucky,DG,https://www.youtube.com/watch?v=js1G3lYgMaQ
Dartmouth RR,1,Harvard,CC,Emory,KR,https://www.youtube.com/watch?v=8SUTs_Zv6iM
Dartmouth RR,1,Michigan,PD,Long Beach,OF,https://www.youtube.com/watch?v=usaFaMR9t64
Dartmouth RR,2,Dartmouth,BC,Harvard,CC,https://www.youtube.com/watch?v=23eTgUI5N3Q
Dartmouth RR,3,Long Beach,OF,Harvard,CC,https://www.youtube.com/watch?v=dUavVjZsWXo
Dartmouth RR,4,Long Beach,OF,Texas,DK,https://www.youtube.com/watch?v=M6aHpD1PyBg
Dartmouth RR,4,Michigan,PD,Dartmouth,BC,https://www.youtube.com/watch?v=UniwtFXoPt4
Dartmouth RR,5,Dartmouth,BC,Emory,KR,https://www.youtube.com/watch?v=8dCke6hZSwI
Dartmouth RR,5,Texas,DK,Michigan,PD,https://www.youtube.com/watch?v=gAifhxuK8jE
Dartmouth RR,6,Long Beach,OF,Emory,KR,https://www.youtube.com/watch?v=6-W8dcUUNEU
Dartmouth RR,7,Emory,KR,Michigan,PD,https://www.youtube.com/watch?v=0gcA7kf8kHI
Dartmouth RR,7,Harvard,CC,Texas,DK,https://www.youtube.com/watch?v=ISuVoH5Nlx8
